sample_id	tissue	sex	delta
GTEX-131XH-2326	Adipose - Subcutaneous	male	0.0908225378008682
GTEX-131XW-0526	Adipose - Subcutaneous	female	0.2240453420854455
GTEX-131YS-0226	Adipose - Subcutaneous	female	0.2290634115389472
GTEX-132AR-0226	Adipose - Subcutaneous	female	0.1511470092442444
GTEX-132NY-0426	Adipose - Subcutaneous	male	0.1779077734071953
GTEX-132Q8-0326	Adipose - Subcutaneous	male	0.1490060173002242
GTEX-132QS-2526	Adipose - Subcutaneous	male	0.3511517588292426
GTEX-1339X-2526	Adipose - Subcutaneous	male	0.071534333238328
GTEX-1399Q-0626	Adipose - Subcutaneous	male	0.1982822711234871
GTEX-1399R-2626	Adipose - Subcutaneous	male	0.1497878365796895
GTEX-1399S-2526	Adipose - Subcutaneous	female	0.1227115254878039
GTEX-1399T-2726	Adipose - Subcutaneous	male	0.2136740970789354
GTEX-1399U-2426	Adipose - Subcutaneous	female	0.1935533942675459
GTEX-139D8-0326	Adipose - Subcutaneous	female	0.1592008225130929
GTEX-139T4-0126	Adipose - Subcutaneous	female	0.1907613049705777
GTEX-139T6-2126	Adipose - Subcutaneous	male	0.2331790773079982
GTEX-139T8-0226	Adipose - Subcutaneous	male	0.1735714100638102
GTEX-139TS-2726	Adipose - Subcutaneous	male	0.1552891998282509
GTEX-139TT-0226	Adipose - Subcutaneous	male	0.3108519883285883
GTEX-139TU-0226	Adipose - Subcutaneous	male	0.1154507071339852
GTEX-139UC-2626	Adipose - Subcutaneous	male	0.2515968878491968
GTEX-139UW-2726	Adipose - Subcutaneous	male	0.2618900873798476
GTEX-139YR-2426	Adipose - Subcutaneous	male	0.1380755915119537
GTEX-13CF2-2626	Adipose - Subcutaneous	male	0.2867647931995714
GTEX-13CF3-2326	Adipose - Subcutaneous	female	0.2484633476195961
GTEX-13CIG-0126	Adipose - Subcutaneous	male	0.214718295449717
GTEX-13CZV-0126	Adipose - Subcutaneous	male	0.1018153708635122
GTEX-13D11-2326	Adipose - Subcutaneous	female	0.1477958024061483
GTEX-13FH7-2226	Adipose - Subcutaneous	female	0.219823483610663
GTEX-13FHO-0326	Adipose - Subcutaneous	male	0.1440611117476262
GTEX-13FHP-0226	Adipose - Subcutaneous	male	0.1586672915837068
GTEX-13FLV-2726	Adipose - Subcutaneous	male	0.1408141538801294
GTEX-13FLW-2526	Adipose - Subcutaneous	male	0.1401189855524002
GTEX-13FTW-2526	Adipose - Subcutaneous	male	0.178801826048127
GTEX-13FTY-0626	Adipose - Subcutaneous	female	0.132228853688822
GTEX-13FXS-0126	Adipose - Subcutaneous	male	0.2033065262372429
GTEX-13G51-2626	Adipose - Subcutaneous	male	0.1463275183656981
GTEX-13IVO-0226	Adipose - Subcutaneous	male	0.2589376989638954
GTEX-13JUV-2826	Adipose - Subcutaneous	female	0.1149339806851094
GTEX-13JVG-0226	Adipose - Subcutaneous	male	0.2569691432007082
GTEX-13N11-2626	Adipose - Subcutaneous	female	0.2665008098556866
GTEX-13N1W-0226	Adipose - Subcutaneous	male	0.1321006342942564
GTEX-13N2G-2726	Adipose - Subcutaneous	male	0.1233019302737511
GTEX-13NYB-2626	Adipose - Subcutaneous	male	0.1321660997179024
GTEX-13NYC-0426	Adipose - Subcutaneous	male	0.1776879694371994
GTEX-13NYS-0226	Adipose - Subcutaneous	male	0.2783538146062157
GTEX-13NZ8-0926	Adipose - Subcutaneous	female	0.2195411736044279
GTEX-13NZ9-0526	Adipose - Subcutaneous	male	0.0628774759300204
GTEX-13NZA-0126	Adipose - Subcutaneous	male	0.2133570415197964
GTEX-13NZB-2426	Adipose - Subcutaneous	male	0.152999763084934
GTEX-13O1R-0226	Adipose - Subcutaneous	male	0.2979519951735968
GTEX-13O21-1526	Adipose - Subcutaneous	male	0.150430350752008
